Stanford
Jay-Z,H to the Izzo,JAYZ.jpg
Zedd,Pioneer in dubstep and electro house,Zedd.jpg
Diplo,Manager of Mad Decent,Diplo.jpg
Kanye West,Imma let y'all finish but...,Kanye.jpg
Migos,Atlanta's finest,MIGOS.jpg
ODESZA,Seattle based electronic duo,ODESZA.jpg
Stanford-Modals
Jay-Z,JAYZ,One of the greatest performers of all time
Zedd,Zedd,Russian-German musician; DJ; Songwriter; songwriter and record producer
Diplo,Diplo,Lead member of the dancehall music projects Major Lazer and Jack U
Kanye West,Kanye,The man needs no introduction
Migos,MIGOS,THE CULTURE
ODESZA,ODESZA,3 studio albums: Summer's Gone; In return; a moment apart
